,year,date,away_team,home_team,away_score,home_score,winner
29,2014,11/01/2014, Kentucky, Missouri,10.0,20.0, Missouri
30,2014,11/01/2014, Houston, South Florida,27.0,3.0, Houston
31,2014,11/01/2014, Kansas, Baylor,14.0,60.0, Baylor
32,2014,11/01/2014, USC, Washington State,44.0,17.0, USC
33,2014,11/01/2014, Arkansas State, Idaho,44.0,28.0, Arkansas State
34,2014,11/01/2014, South Alabama, Louisiana-Lafayette,9.0,19.0, Louisiana-Lafayette
35,2014,11/01/2014, New Mexico, UNLV,31.0,28.0, New Mexico
36,2014,11/01/2014, Auburn, Mississippi,35.0,31.0, Auburn
37,2014,11/01/2014, Colorado State, San Jose State,38.0,31.0, Colorado State
38,2014,11/01/2014, UAB, Florida Atlantic,31.0,28.0, UAB
39,2014,11/01/2014, Old Dominion, Vanderbilt,28.0,42.0, Vanderbilt
40,2014,11/01/2014, Arkansas, Mississippi State,10.0,17.0, Mississippi State
41,2014,11/01/2014, Tennessee, South Carolina,45.0,42.0, Tennessee
42,2014,11/01/2014, Stanford, Oregon,16.0,45.0, Oregon
43,2014,11/01/2014, Texas, Texas Tech,34.0,13.0, Texas
44,2014,11/01/2014, Oklahoma State, Kansas State,14.0,48.0, Kansas State
45,2014,11/01/2014, Illinois, Ohio State,14.0,55.0, Ohio State
46,2014,11/01/2014, Southern Mississippi, UTEP,14.0,35.0, UTEP
47,2014,11/01/2014, Notre Dame, Navy,49.0,39.0, Notre Dame
48,2014,11/01/2014, California, Oregon State,45.0,31.0, California
49,2014,11/01/2014, Arizona, UCLA,7.0,17.0, UCLA
50,2014,11/01/2014, San Diego State, Nevada,14.0,30.0, Nevada
51,2014,11/01/2014, Wyoming, Fresno State,45.0,17.0, Wyoming
52,2014,11/01/2014, Utah State, Hawai'i,35.0,14.0, Utah State
53,2014,11/01/2014, Utah, Arizona State,16.0,19.0, Arizona State
0,2014,11/04/2014, Bowling Green, Akron,27.0,10.0, Bowling Green
1,2014,11/04/2014, Toledo, Kent State,30.0,20.0, Toledo
2,2014,11/05/2014, Buffalo, Ohio,14.0,37.0, Ohio
3,2014,11/05/2014, Northern Illinois, Ball State,35.0,21.0, Northern Illinois
4,2014,11/06/2014, Clemson, Wake Forest,34.0,20.0, Clemson
5,2014,11/07/2014, Memphis, Temple,16.0,13.0, Memphis
6,2014,11/07/2014, Utah State, Wyoming,20.0,3.0, Utah State
7,2014,11/08/2014, Louisiana Tech, UAB,40.0,24.0, Louisiana Tech
8,2014,11/08/2014, UTSA, Rice,7.0,17.0, Rice
9,2014,11/08/2014, SMU, Tulsa,28.0,38.0, Tulsa
10,2014,11/08/2014, Penn State, Indiana,13.0,7.0, Penn State
11,2014,11/08/2014, Iowa, Minnesota,14.0,51.0, Minnesota
12,2014,11/08/2014, Baylor, Oklahoma,48.0,14.0, Baylor
13,2014,11/08/2014, Wisconsin, Purdue,34.0,16.0, Wisconsin
14,2014,11/08/2014, Georgia, Kentucky,63.0,31.0, Georgia
15,2014,11/08/2014, Presbyterian, Mississippi,0.0,48.0, Mississippi
16,2014,11/08/2014, Duke, Syracuse,27.0,10.0, Duke
17,2014,11/08/2014, Georgia Tech, North Carolina State,56.0,23.0, Georgia Tech
18,2014,11/08/2014, South Alabama, Arkansas State,10.0,45.0, Arkansas State
19,2014,11/08/2014, Georgia State, Troy,21.0,45.0, Troy
20,2014,11/08/2014, Louisiana-Monroe, Appalachian State,29.0,31.0, Appalachian State
21,2014,11/08/2014, Texas A&M, Auburn,41.0,38.0, Texas A&M
22,2014,11/08/2014, Notre Dame, Arizona State,31.0,55.0, Arizona State
23,2014,11/08/2014, Connecticut, Army,21.0,35.0, Army
24,2014,11/08/2014, Tulane, Houston,31.0,24.0, Tulane
25,2014,11/08/2014, Florida International, Old Dominion,35.0,38.0, Old Dominion
26,2014,11/08/2014, West Virginia, Texas,16.0,33.0, Texas
27,2014,11/08/2014, Michigan, Northwestern,10.0,9.0, Michigan
28,2014,11/08/2014, Iowa State, Kansas,14.0,34.0, Kansas
29,2014,11/08/2014, UTEP, Western Kentucky,27.0,35.0, Western Kentucky
30,2014,11/08/2014, Air Force, UNLV,48.0,21.0, Air Force
31,2014,11/08/2014, Washington State, Oregon State,39.0,32.0, Washington State
32,2014,11/08/2014, Tennessee-Martin, Mississippi State,16.0,45.0, Mississippi State
33,2014,11/08/2014, Georgia Southern, Texas State,28.0,25.0, Georgia Southern
34,2014,11/08/2014, Idaho, San Diego State,21.0,35.0, San Diego State
35,2014,11/08/2014, Virginia, Florida State,20.0,34.0, Florida State
36,2014,11/08/2014, Florida Atlantic, North Texas,10.0,31.0, North Texas
37,2014,11/08/2014, Marshall, Southern Mississippi,63.0,17.0, Marshall
38,2014,11/08/2014, Boise State, New Mexico,60.0,49.0, Boise State
39,2014,11/08/2014, Hawai'i, Colorado State,22.0,49.0, Colorado State
40,2014,11/08/2014, UCLA, Washington,44.0,30.0, UCLA
41,2014,11/08/2014, Louisville, Boston College,38.0,19.0, Louisville
42,2014,11/08/2014, Kansas State, TCU,20.0,41.0, TCU
43,2014,11/08/2014, Florida, Vanderbilt,34.0,10.0, Florida
44,2014,11/08/2014, Alabama, LSU,20.0,13.0, Alabama
45,2014,11/08/2014, Louisiana-Lafayette, New Mexico State,44.0,16.0, Louisiana-Lafayette
46,2014,11/08/2014, Ohio State, Michigan State,49.0,37.0, Ohio State
47,2014,11/08/2014, Colorado, Arizona,20.0,38.0, Arizona
48,2014,11/08/2014, Oregon, Utah,51.0,27.0, Oregon
49,2014,11/08/2014, San Jose State, Fresno State,24.0,38.0, Fresno State
0,2014,11/11/2014, Akron, Buffalo,24.0,55.0, Buffalo
1,2014,11/11/2014, Toledo, Northern Illinois,24.0,27.0, Northern Illinois
2,2014,11/12/2014, Ball State, Massachusetts,10.0,24.0, Massachusetts
3,2014,11/12/2014, Kent State, Bowling Green,20.0,30.0, Bowling Green
4,2014,11/13/2014, East Carolina, Cincinnati,46.0,54.0, Cincinnati
5,2014,11/13/2014, Southern Mississippi, UTSA,10.0,12.0, UTSA
6,2014,11/13/2014, California, USC,30.0,38.0, USC
7,2014,11/14/2014, Tulsa, UCF,7.0,31.0, UCF
8,2014,11/15/2014, Ohio State, Minnesota,31.0,24.0, Ohio State
9,2014,11/15/2014, Temple, Penn State,13.0,30.0, Penn State
10,2014,11/15/2014, Clemson, Georgia Tech,6.0,28.0, Georgia Tech
11,2014,11/15/2014, Virginia Tech, Duke,17.0,16.0, Virginia Tech
12,2014,11/15/2014, Army, Western Kentucky,24.0,52.0, Western Kentucky
13,2014,11/15/2014, Iowa, Illinois,30.0,14.0, Iowa
14,2014,11/15/2014, South Carolina, Florida,23.0,20.0, South Carolina
15,2014,11/15/2014, Pittsburgh, North Carolina,35.0,40.0, North Carolina
16,2014,11/15/2014, Miami (Ohio), Central Michigan,27.0,34.0, Central Michigan
17,2014,11/15/2014, Nevada, Air Force,38.0,45.0, Air Force
18,2014,11/15/2014, Eastern Michigan, Western Michigan,7.0,51.0, Western Michigan
19,2014,11/15/2014, Rice, Marshall,14.0,41.0, Marshall
20,2014,11/15/2014, Wake Forest, North Carolina State,13.0,42.0, North Carolina State
21,2014,11/15/2014, TCU, Kansas,34.0,30.0, TCU
22,2014,11/15/2014, Appalachian State, Arkansas State,37.0,32.0, Appalachian State
23,2014,11/15/2014, Georgia Southern, Navy,19.0,52.0, Navy
24,2014,11/15/2014, Mississippi State, Alabama,20.0,25.0, Alabama
25,2014,11/15/2014, Memphis, Tulane,38.0,7.0, Memphis
26,2014,11/15/2014, Nebraska, Wisconsin,24.0,59.0, Wisconsin
27,2014,11/15/2014, Northwestern, Notre Dame,43.0,40.0, Northwestern
28,2014,11/15/2014, Middle Tennessee, Florida International,28.0,38.0, Florida International
29,2014,11/15/2014, Oklahoma, Texas Tech,42.0,30.0, Oklahoma
30,2014,11/15/2014, Indiana, Rutgers,23.0,45.0, Rutgers
31,2014,11/15/2014, Washington, Arizona,26.0,27.0, Arizona
32,2014,11/15/2014, New Mexico, Utah State,21.0,28.0, Utah State
33,2014,11/15/2014, Kentucky, Tennessee,16.0,50.0, Tennessee
34,2014,11/15/2014, Hawai'i, San Jose State,13.0,0.0, Hawai'i
35,2014,11/15/2014, Troy, Idaho,34.0,17.0, Troy
36,2014,11/15/2014, Utah, Stanford,20.0,17.0, Utah
37,2014,11/15/2014, Louisiana-Lafayette, Louisiana-Monroe,34.0,27.0, Louisiana-Lafayette
38,2014,11/15/2014, UNLV, BYU,23.0,42.0, BYU
39,2014,11/15/2014, Auburn, Georgia,7.0,34.0, Georgia
40,2014,11/15/2014, Texas State, South Alabama,20.0,24.0, South Alabama
